,Daily_Return,EMA10,EMA100,EMA100Cross,EMA10Cross,EMA12,EMA12Cross,EMA20,EMA20Cross,EMA26,EMA26Cross,EMA50,EMA50Cross,MACD,MACD_Cross,SMA10,SMA100,SMA100Cross,SMA10Cross,SMA15,SMA15Cross,SMA20,SMA20Cross,SMA5,SMA50,SMA50Cross,SMA5Cross,Settle_Price,Time,Volume
25/6/1975,0.011904762,174.7728263,183.076873,0,-1,174.9442764,-1,175.6728944,-1,176.172864,-1,178.1441026,0,0.043219244,1,174.32,183.695,0,-1,175,-1,175.8,-1,173.64,177.02,0,0,176.4,122,23
26/6/1975,0.013445378,175.4504942,182.9862418,0,0,175.4913108,0,175.9421425,0,176.3452445,0,178.1580594,-1,0.334298557,0,174.34,183.556,0,0,175.1,0,175.52,0,174.04,177.086,-1,0,178.5,123,6
27/6/1975,0,176.4413135,182.9449301,0,0,176.3234169,0,176.4143194,0,176.6826338,0,178.2655865,0,0.663212228,0,174.64,183.441,0,0,175.22,0,175.465,0,175.06,177.158,0,0,180.9,124,42
30/6/1975,0.002211166,177.2519837,182.9044364,0,0,177.0275066,0,176.8415271,0,176.9950313,0,178.3688968,0,0.843923556,0,175.24,183.347,0,0,175.5333333,0,175.585,0,176.54,177.214,0,0,180.9,125,10
1/7/1975,-0.007722008,177.9879867,182.8726654,0,0,177.6848133,0,177.2661436,0,177.3139178,0,178.483842,0,0.945874932,0,175.99,183.263,0,0,175.7533333,0,175.91,0,178.18,177.28,0,0,181.3,126,15
2/7/1975,0.000555864,178.3356255,182.8138008,0,0,178.0256112,0,177.516987,0,177.5054795,0,178.5393777,0,0.876089002,0,176.62,183.193,0,0,176.08,0,176.15,0,179.6,177.418,0,0,179.9,127,2
3/7/1975,-0.015,178.638239,182.7580819,0,0,178.3293633,0,177.7534645,0,177.6902588,0,178.596657,0,0.79604946,0,177.17,183.121,0,0,176.3266667,0,176.4,0,180.3,177.508,0,1,180,128,7
7/7/1975,0.015792442,178.3949228,182.6500011,0,1,178.1709997,1,177.7102774,1,177.6613507,1,178.5458077,1,0.533275143,0,177.83,183.04,0,1,176.6266667,0,176.565,0,180.6,177.558,1,0,177.3,129,10
8/7/1975,0.002776235,178.7049369,182.599506,0,-1,178.467769,-1,177.93787,-1,177.8419914,-1,178.6067564,-1,0.519522981,0,178.21,182.949,0,-1,176.7866667,0,176.62,0,179.88,177.586,-1,-1,180.1,130,28
9/7/1975,-0.007751938,179.0494938,182.5599119,0,0,178.7958046,0,178.1914062,0,178.0462883,0,178.6849228,0,0.514609268,0,178.95,182.874,0,0,177.2333333,0,176.745,0,179.72,177.674,0,0,180.6,131,143
10/7/1975,0.012834821,179.0768586,182.4933789,0,0,178.8579885,0,178.2874628,0,178.1317485,0,178.7051219,0,0.393066448,0,179.59,182.714,0,1,177.6066667,0,176.955,0,179.58,177.742,0,1,179.2,132,35
11/7/1975,-0.000550964,179.5174297,182.4737081,0,0,179.2644518,0,178.5934187,0,178.3812486,0,178.814725,0,0.440023718,0,179.87,182.541,0,-1,177.9266667,0,177.105,0,179.44,177.752,0,-1,181.5,133,16
14/7/1975,-0.007166483,179.8597152,182.4524465,0,0,179.5929977,0,178.8607121,0,178.6048598,0,178.9161083,0,0.435966706,0,180.17,182.386,0,0,178.4666667,0,177.405,0,179.74,177.828,0,0,181.4,134,33
15/7/1975,-0.00388673,179.9034034,182.4058634,0,0,179.670998,0,178.9787396,0,178.7156109,0,178.9625354,0,0.322572752,0,180.22,182.228,0,1,178.9933333,0,177.73,0,180.56,177.908,0,1,180.1,135,41
16/7/1975,-0.001114827,179.8118755,182.3463414,0,1,179.629306,1,179.0188596,0,178.7663064,0,178.9796909,0,0.184148209,0,180.14,182.036,0,0,179.4866667,1,178.065,0,180.56,177.998,0,0,179.4,136,42
17/7/1975,-0.000558036,179.7006254,182.2840376,0,0,179.5632589,0,179.0361111,0,178.7984319,0,178.9883305,0,0.068780543,0,179.95,181.85,0,0,179.8333333,0,178.285,0,180.32,178.104,0,0,179.2,137,1
18/7/1975,-0.001116695,179.5914208,182.2209873,0,0,179.4919883,0,179.0421957,0,178.8207702,0,178.9927097,0,-0.019862755,-1,179.88,181.653,0,0,180.02,0,178.525,0,180.32,178.18,0,0,179.1,138,24
21/7/1975,0.010620458,179.4657079,182.1552252,0,0,179.4009132,0,179.0286533,1,178.8266391,0,178.989074,1,-0.093445403,0,179.79,181.48,0,0,180.06,0,178.81,0,179.84,178.228,0,0,178.9,139,15
22/7/1975,-0.003318584,179.7083065,182.1283891,0,-1,179.6161573,-1,179.197353,-1,178.972814,0,179.0600907,-1,-0.019500928,0,179.95,181.267,0,-1,179.9266667,-1,179.08,0,179.34,178.248,0,-1,180.8,140,80
23/7/1975,0.003329634,179.7977053,182.0902032,0,0,179.7059793,0,179.2928432,0,179.0637167,0,179.104793,0,-0.016465317,0,180.02,181.1,0,0,179.92,0,179.485,0,179.48,178.32,0,0,180.2,141,21
24/7/1975,0.014933628,179.9799407,182.0646546,0,0,179.8742902,0,179.4363819,0,179.1923302,0,179.1712717,0,0.018585587,1,179.98,180.929,0,0,179.8466667,0,179.785,0,179.64,178.394,0,0,180.8,142,0
25/7/1975,0.010354223,180.6199515,182.0930773,-1,0,180.4320917,0,179.8233932,0,179.5114169,0,179.3410258,0,0.205840362,0,180.14,180.766,-1,0,179.9066667,0,180.005,0,179.96,178.462,0,0,183.5,143,138
28/7/1975,-0.012405609,181.4890512,182.1585609,0,0,181.1963853,0,180.3544986,0,179.9476082,0,179.5786326,0,0.427154088,0,180.34,180.691,0,0,180.14,0,180.255,0,180.84,178.532,0,0,185.4,144,98
29/7/1975,0.00054615,181.781951,182.1772032,0,0,181.4892491,0,180.6159749,0,180.1811187,0,179.7167255,0,0.389205914,0,180.74,180.628,0,0,180.68,0,180.48,0,182.14,178.706,0,0,183.1,145,9
30/7/1975,-0.003275109,182.0397781,182.1974566,0,0,181.7524415,0,180.8620725,0,180.4047396,0,179.8533245,0,0.343022025,0,181.04,180.524,0,0,180.88,0,180.59,0,182.6,178.814,0,0,183.2,146,10
31/7/1975,-0.000547645,182.1416366,182.2054278,0,0,181.8828351,0,181.0275894,0,180.5673515,0,179.9610372,0,0.248643003,0,181.42,180.451,0,0,181.0533333,0,180.685,0,183.2,178.886,0,1,182.6,147,12
1/8/1975,-0.000547945,182.2067936,182.2112609,0,0,181.9777836,0,181.167819,0,180.7105106,0,180.0606044,0,0.160345834,0,181.76,180.381,0,0,181.28,0,180.82,0,183.56,178.96,0,0,182.5,148,1
4/8/1975,-0.004385965,182.241922,182.2149983,0,0,182.0427399,0,181.2851696,0,180.835658,0,180.1523454,0,0.080123876,0,182.1,180.282,0,0,181.3466667,0,180.945,0,183.36,178.952,0,0,182.4,149,0
5/8/1975,-0.00715859,182.1252089,182.2028201,1,1,181.9746261,1,181.3151534,0,180.8922759,0,180.2091162,0,-0.035686312,-1,182.45,180.201,0,1,181.4133333,0,181.2,0,182.76,178.906,0,0,181.6,150,22
6/8/1975,0.001663894,181.7933528,182.1651405,0,0,181.7169913,0,181.2184721,1,180.8484036,1,180.2126802,0,-0.199559048,0,182.53,180.098,0,0,181.5133333,1,181.275,1,182.46,178.814,0,0,180.3,151,17
7/8/1975,-0.027131783,181.5763795,182.1341476,0,0,181.5451465,0,181.15957,0,180.8300033,0,180.2278692,0,-0.282402879,0,182.54,179.99,0,0,181.5733333,0,181.26,0,181.88,178.742,0,0,180.6,152,9
8/8/1975,0.000569152,180.5079469,182.0067388,0,0,180.6458932,0,180.639611,0,180.4500031,0,180.0503057,1,-0.641324752,0,182.52,179.888,1,0,181.6666667,0,181.33,0,181.48,178.714,1,0,175.7,153,127
11/8/1975,0.00967008,179.6519565,181.8838331,0,0,179.9003712,0,180.1786957,0,180.1055584,0,179.8836271,0,-0.833921687,0,181.74,179.74,0,0,181.44,0,181.04,0,180.12,178.636,0,0,175.8,154,34
12/8/1975,-0.01971831,179.2606917,181.7970245,0,0,179.5310833,0,179.9235818,0,179.9125541,0,179.7901515,0,-0.808164185,0,180.78,179.587,0,0,181.2333333,0,180.76,0,178.8,178.582,0,0,177.5,155,29
13/8/1975,-0.006321839,178.3042023,181.642628,0,0,178.6801474,0,179.3594311,0,179.4745871,0,179.5630868,0,-0.976906485,0,180.22,179.488,0,0,181.0133333,0,180.63,0,177.98,178.644,0,0,174,156,60
14/8/1975,0.016772701,177.3216201,181.4695066,0,0,177.790894,0,178.7442472,0,178.9875807,0,179.3017892,0,-1.103322783,0,179.3,179.353,0,0,180.6,0,180.36,0,176.72,178.594,0,0,172.9,157,233
15/8/1975,-0.003412969,177.0449619,181.3572392,0,0,177.4846026,0,178.4638427,0,178.7514636,0,179.1644642,0,-0.938797659,0,178.33,179.203,0,0,180.0733333,0,180.045,0,175.18,178.554,0,-1,175.8,158,55
18/8/1975,0,176.7095143,181.2353136,0,0,177.1331253,0,178.1530006,0,178.4883922,0,179.008995,0,-0.821762882,0,177.66,179.078,0,0,179.56,0,179.88,0,175.2,178.536,0,0,175.2,159,14
19/8/1975,0.005136986,176.4350571,181.1158025,0,0,176.8357214,0,177.8717624,0,178.2448076,0,178.8596226,0,-0.700465728,0,176.94,178.924,0,0,178.88,0,179.695,0,175.08,178.516,0,0,175.2,160,62
20/8/1975,-0.003975014,176.3741376,181.0164796,0,0,176.7225335,0,177.7030231,0,178.085933,0,178.7514021,0,-0.523823196,0,176.3,178.793,0,0,178.3533333,0,179.415,0,174.62,178.468,0,0,176.1,161,31
21/8/1975,-0.002850627,176.1970217,180.9052622,0,0,176.5190668,0,177.4836876,0,177.886975,0,178.6199746,0,-0.422665509,0,175.88,178.661,0,0,177.88,0,179.21,0,175.04,178.462,0,0,175.4,162,4
22/8/1975,0.001143511,175.9611996,180.7863461,0,0,176.2699796,0,177.2376221,0,177.6657176,0,178.4740932,0,-0.360396241,0,175.36,178.526,0,0,177.4,0,178.94,0,175.54,178.446,0,1,174.9,163,9
25/8/1975,-0.002284409,175.8046178,180.6737452,0,0,176.0899827,0,177.0340391,0,177.4756644,0,178.3417759,0,-0.280271958,0,175.28,178.396,0,0,176.8933333,0,178.51,0,175.36,178.434,0,0,175.1,164,0
26/8/1975,0.020034345,175.6037782,180.5554532,0,0,175.8761392,0,176.8117496,0,177.2700596,0,178.1989611,0,-0.230808547,0,175.21,178.28,0,0,176.4066667,0,177.995,0,175.34,178.438,0,0,174.7,165,0
27/8/1975,-0.002805836,176.0758186,180.5088106,0,-1,176.2336563,-1,176.9439639,-1,177.3389441,-1,178.1990019,-1,0.046259219,1,174.93,178.198,-1,-1,175.9466667,-1,177.575,-1,175.24,178.464,0,-1,178.2,166,9
28/8/1975,-0.01631964,176.3711243,180.4531906,0,0,176.4592476,0,177.0159674,0,177.365689,0,178.1794332,1,0.196084545,0,175.35,178.148,1,0,175.8066667,0,177.325,0,175.66,178.528,0,0,177.7,167,0
29/8/1975,-0.057208238,176.0854653,180.3412462,0,1,176.2039787,1,176.8049229,1,177.175638,1,178.0469064,0,0.104693374,0,175.83,178.087,0,1,175.6133333,1,177.08,1,176.12,178.594,0,1,174.8,168,1
2/9/1975,-0.001820388,174.0335625,180.0334988,0,0,174.4495205,0,175.6615969,0,176.258924,0,177.5274198,0,-0.586440779,-1,175.73,177.998,0,0,175.5533333,0,176.695,0,176.1,178.622,0,0,164.8,169,13
3/9/1975,0.008510638,172.3001875,179.7259047,0,0,172.918825,0,174.5985876,0,175.3878926,0,177.0165406,0,-0.996883862,0,174.69,177.827,0,0,174.82,0,175.815,0,174.04,178.448,0,0,164.5,170,24
4/9/1975,0.004822182,171.1365171,179.4521244,0,0,171.8390058,0,173.7701507,0,174.6850858,0,176.5805979,0,-1.099116988,0,173.62,177.657,0,0,173.9533333,0,174.96,0,172,178.284,0,0,165.9,171,16
5/9/1975,-0.021595681,170.3298776,179.1996071,0,0,171.0483895,0,173.096803,0,174.0935979,0,176.1931234,0,-1.038596344,0,172.6,177.569,0,0,173.4133333,0,174.24,0,169.54,178.118,0,0,166.7,172,2
8/9/1975,-0.010423053,169.0153544,178.880803,0,0,169.8255604,0,172.1447266,0,173.2792573,0,175.6796676,0,-1.15766793,0,171.73,177.505,0,0,173,0,173.545,0,167.34,177.924,0,0,163.1,173,51
9/9/1975,-0.008054523,167.6307445,178.5346485,0,0,168.5293203,0,171.1214193,0,172.3993123,0,175.1196807,0,-1.259170397,0,170.55,177.387,0,0,172.1533333,0,172.915,0,165,177.616,0,0,161.4,174,105
10/9/1975,-0.005621487,166.2615182,178.169606,0,0,167.2325018,0,170.0717603,0,171.4882522,0,174.5306736,0,-1.315942985,0,169.18,177.22,0,0,171.2333333,0,172.195,0,164.32,177.226,0,0,160.1,175,38
11/9/1975,0.000628141,164.9776058,177.7939702,0,0,165.9967323,0,169.0363546,0,170.5780113,0,173.9294707,0,-1.313177272,0,167.72,177.045,0,0,170.2266667,0,171.325,0,163.44,176.81,0,0,159.2,176,11
12/9/1975,0.001883239,163.9453139,177.427753,0,0,164.9664658,0,168.1090827,0,169.742603,0,173.355766,0,-1.206428428,0,165.82,176.893,0,0,169.1,0,170.585,0,162.1,176.368,0,0,159.3,177,34
15/9/1975,-0.015037594,163.1552568,177.0747282,0,0,164.1408557,0,167.2986939,0,168.9912991,0,172.8163241,0,-1.024587696,0,163.98,176.732,0,0,168.0266667,0,169.905,0,160.62,175.956,0,0,159.6,178,4
16/9/1975,-0.024173028,162.0724828,176.6811692,0,0,163.0730317,0,166.3369135,0,168.1178695,0,172.2039193,0,-0.975185665,0,162.46,176.553,0,0,167.0066667,0,169.095,0,159.92,175.548,0,0,157.2,179,1
17/9/1975,-0.044980443,160.4956678,176.2201559,0,0,161.584873,0,165.1048265,0,167.027657,0,171.4665107,0,-1.098505465,0,161.7,176.366,0,0,165.8133333,0,168.195,0,159.08,175.146,0,0,153.4,180,69
18/9/1975,0.002730375,157.9510009,175.631638,0,0,159.2641233,0,163.3329383,0,165.5070898,0,170.4874318,0,-1.518950377,0,160.59,176.143,0,0,164.3933333,0,167.105,0,157.74,174.612,0,0,146.5,181,13
19/9/1975,-0.023144997,155.941728,175.0626947,0,0,157.3619505,0,161.7678965,0,164.1287868,0,169.5624345,0,-1.634256196,0,158.65,175.836,0,0,162.28,0,165.625,0,155.2,173.93,0,0,146.9,182,41
22/9/1975,-0.025087108,153.6795956,174.4376908,0,0,155.2293427,0,160.0280968,0,162.6007286,0,168.5403782,0,-1.791044542,0,156.67,175.518,0,0,160.2266667,0,164.2,0,152.72,173.284,0,0,143.5,183,13
23/9/1975,0.045746962,151.1742146,173.7537762,0,0,152.8709823,0,158.1111352,0,160.9191931,0,167.4172262,0,-1.974295608,0,154.71,175.176,0,0,158.14,0,162.63,0,149.5,172.524,0,0,139.9,184,24
24/9/1975,-0.002050581,150.2879938,173.210137,0,0,151.8600619,0,156.9862652,0,159.8362899,0,166.5890996,0,-1.521850214,0,152.56,174.801,0,0,156.48,0,160.87,0,146.04,171.694,0,-1,146.3,185,3
25/9/1975,0.015068493,149.5083585,172.6713224,0,0,150.958514,0,155.9399542,0,158.8113796,0,165.781684,0,-1.118790273,0,151.18,174.508,0,0,155.2666667,0,159.45,0,144.62,171.018,0,0,146,186,25
26/9/1975,0.006072874,149.2704752,172.1867418,0,0,150.5341272,0,155.2028157,0,158.0253514,0,165.0922062,0,-0.605719136,0,149.86,174.227,0,0,153.94,0,157.84,0,144.52,170.35,0,0,148.2,187,15
29/9/1975,0.016096579,149.2394797,171.7295786,0,0,150.3134922,0,154.6215952,0,157.3642143,0,164.4650608,0,-0.132173556,0,148.75,173.955,0,-1,152.7066667,0,156.365,0,144.78,169.73,0,0,149.1,188,0
30/9/1975,0.012541254,149.6504834,171.3289929,0,-1,150.4960319,-1,154.3243004,0,156.9298281,0,163.9566271,0,0.387801875,1,147.7,173.679,0,0,151.7733333,0,155.08,0,145.9,169.13,0,0,151.5,189,2
1/10/1975,-0.006518905,150.3322137,170.9739633,0,0,150.9427962,0,154.2362718,0,156.6683593,0,163.5426417,0,0.876827955,0,147.13,173.415,0,0,151.1133333,-1,154.415,0,148.22,168.582,0,0,153.4,190,1
2/10/1975,-0.022965879,150.7081748,170.606162,0,0,151.1669814,0,154.0613888,0,156.3521845,0,163.1056754,0,1.133750333,0,147.13,173.177,0,0,150.6666667,0,153.86,0,149.64,168.034,0,0,152.4,191,0
3/10/1975,0.016789792,150.3794158,170.1763371,0,1,150.818215,1,153.5698279,0,155.8001709,0,162.54859,0,1.069598105,0,147.72,172.936,0,0,150.2133333,1,153.185,0,150.92,167.478,0,1,148.9,192,15
6/10/1975,0.009247028,150.5649765,169.8045284,0,-1,150.9077204,-1,153.3631777,0,155.4742323,0,162.1113904,0,1.188033653,0,147.92,172.651,0,0,149.52,-1,152.295,0,151.06,166.84,0,-1,151.4,193,0
7/10/1975,-0.028141361,150.9713444,169.4678051,0,0,151.1988404,0,153.3095417,0,155.276141,0,161.7462379,0,1.341795895,0,148.71,172.365,0,0,148.9733333,0,151.71,-1,151.52,166.198,0,0,152.8,194,0
8/10/1975,0.014141414,150.5220091,169.052601,0,1,150.7836341,1,152.8514901,0,154.7742046,0,161.2267776,0,1.142820846,0,150,172.126,0,1,148.68,1,151.28,1,151.78,165.546,0,1,148.5,195,3
9/10/1975,0.013280212,150.5361893,168.687203,0,-1,150.7553827,0,152.6370625,0,154.4650043,0,160.8100412,0,1.139015826,0,150.22,171.834,0,-1,148.3533333,-1,150.7,0,150.8,164.854,0,0,150.6,196,2
10/10/1975,-0.005242464,150.9114276,168.3686445,0,0,151.03917,-1,152.6335327,0,154.3268558,0,160.4880788,0,1.24876125,0,150.68,171.544,0,0,148.6266667,0,150.27,-1,150.44,164.202,0,-1,152.6,197,17
14/10/1975,0,151.0729862,168.0405525,0,0,151.1562208,0,152.5541486,0,154.1396813,0,160.1473698,0,1.242389219,0,151.12,171.281,0,0,149.0066667,0,149.935,0,151.18,163.602,0,0,151.8,198,23
15/10/1975,0.007246377,151.2051705,167.7189574,0,0,151.2552637,0,152.482325,0,153.9663716,0,159.820022,0,1.211793523,0,151.39,170.97,0,0,149.56,0,149.545,0,151.26,162.988,0,0,151.8,199,1
16/10/1975,0.013080445,151.5133213,167.4255127,0,0,151.5083001,0,152.5221035,-1,153.8873811,0,159.5486486,0,1.235056288,0,151.42,170.641,0,0,150.3533333,0,149.275,0,151.06,162.376,0,0,152.9,200,2
17/10/1975,0.004519045,152.1290811,167.1774828,0,0,152.0301001,0,152.7485699,0,153.9623899,-1,159.3663486,0,1.345477975,0,151.37,170.308,0,0,150.7933333,0,149.25,0,151.94,161.802,0,0,154.9,201,0
20/10/1975,-0.011568123,152.7601573,166.9482257,0,0,152.5793154,0,153.0201346,0,154.0836944,0,159.2186487,0,1.418711118,0,151.62,170.018,0,0,151.3866667,0,149.67,0,152.8,161.294,0,0,155.6,202,26
21/10/1975,0.008452536,152.9492196,166.6878648,0,0,152.7671131,0,153.0944075,0,154.06268,1,159.0061527,0,1.302018511,0,152.29,169.754,0,0,151.88,0,150.105,0,153.4,160.794,0,0,153.8,203,6
22/10/1975,-0.010960671,153.3402706,166.4584021,0,0,153.1260188,0,153.2854163,0,154.1395185,-1,158.8529702,0,1.267268538,0,152.53,169.496,0,0,152.1933333,0,150.62,0,153.8,160.356,0,0,155.1,204,5
23/10/1975,-0.007170795,153.3511305,166.1998199,0,0,153.1681697,0,153.2963291,0,154.0847393,1,158.6391282,0,1.091358917,0,152.76,169.262,0,0,152.4333333,0,151.38,0,154.46,159.942,0,1,153.4,205,0
24/10/1975,-0.01116218,153.1600158,165.9245759,0,1,153.0346051,1,153.2014406,1,153.9525364,0,158.390535,0,0.871997808,0,153.25,169.052,0,1,152.4333333,1,151.735,0,154.56,159.46,0,0,152.3,206,6
27/10/1975,-0.004648074,152.6945584,165.621119,0,0,152.6600505,0,152.9536843,0,153.7042004,0,158.0850238,0,0.596623362,0,153.42,168.81,0,0,152.4266667,0,152.05,1,154.04,159.026,0,0,150.6,207,10
28/10/1975,0.022681788,152.1864569,165.3098097,0,0,152.2354273,0,152.6628573,0,153.4224078,0,157.7640425,0,0.363034264,0,153.22,168.567,0,0,152.54,0,152.17,0,153.04,158.58,0,0,149.9,208,9
29/10/1975,-0.00456621,152.3889193,165.0719917,0,-1,152.3992078,-1,152.7235375,-1,153.4133405,0,157.588982,0,0.428705531,0,153.03,168.299,0,-1,152.44,-1,152.21,-1,152.26,158.062,0,-1,153.3,209,20
30/10/1975,-0.007208388,152.4272976,164.8250215,0,0,152.4300989,0,152.711772,1,153.3530931,0,157.3933356,0,0.415875274,0,153.18,168.07,0,1,152.4733333,0,152.3,0,151.9,157.624,0,0,152.6,210,0
31/10/1975,0.00330033,152.258698,164.5611597,0,1,152.2870067,1,152.5963652,0,153.2158269,0,157.1622244,0,0.328039435,0,153.15,167.82,0,0,152.7466667,1,152.26,1,151.74,157.172,0,1,151.5,211,50
3/11/1975,0.0375,152.211662,164.3124239,0,0,152.2428519,0,152.5395685,0,153.1257657,0,156.9597842,0,0.299156645,0,152.81,167.571,0,0,152.8066667,0,152.215,0,151.58,156.68,0,-1,152,212,0
5/11/1975,-0.01521877,153.2095416,164.1814848,0,-1,153.0824131,-1,153.0310382,-1,153.4645978,-1,156.9888123,-1,0.639908581,0,152.45,167.329,0,-1,152.7666667,-1,152.37,-1,151.86,156.212,-1,0,157.7,213,0
6/11/1975,0.000643915,153.589625,164.0056138,0,0,153.4235803,0,153.2471298,0,153.6005536,0,156.9225844,1,0.676096064,0,152.84,167.151,0,0,153.16,0,152.685,0,153.42,155.868,1,0,155.3,214,0
7/11/1975,-0.009009009,153.9187841,163.8352056,0,0,153.7276449,0,153.452165,0,153.7338459,0,156.8628752,0,0.677494641,0,152.86,166.955,0,0,153.3933333,0,152.81,0,153.82,155.472,0,0,155.4,215,1
10/11/1975,-0.004545455,153.9335506,163.6404491,0,0,153.7695457,0,153.5043398,0,153.753561,0,156.7506056,0,0.559744247,0,153.06,166.775,0,0,153.56,0,153.155,0,154.38,155.086,0,1,154,216,2
12/11/1975,-0.007827789,153.8183596,163.4356877,0,1,153.6973079,1,153.4848789,1,153.7199639,1,156.6152877,0,0.41688285,0,153.23,166.565,0,0,153.5,1,153.325,1,154.88,154.602,0,0,153.3,217,1007
13/11/1975,-0.008547009,153.5059306,163.2112187,0,0,153.4515682,0,153.3529856,0,153.5999666,0,156.4382176,0,0.232912402,0,153.5,166.354,0,1,153.3466667,0,153.36,0,155.14,154.114,0,0,152.1,218,4
