,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,16.082087,489.03333,1029.4714,55.64611,1188.7573,55.965416,171.6939,1025.502,56.91999,2.5314364,16.195732,472.66583,16.32035,1188.6681,16.517904,54.146034,1176.9691,1025.8094,177.32945,1177.8011,55.45293,430.61282,174.37396,2.5320523,16.61592,174.82193,458.28717,57.120735,990.62054,2.5169544,443.68073,1180.8347,2.535425,173.86548,2.5328662,1005.8865
1,16.157923,490.83423,1028.0667,55.689526,1194.0331,56.011116,172.12288,1023.8601,56.988102,2.5350769,16.279066,474.5205,16.39633,1193.6221,16.612696,54.186203,1181.186,1025.4264,177.12276,1181.4005,55.49675,433.14868,174.82207,2.534965,16.684471,176.12418,460.39233,57.193466,989.7842,2.5221355,445.99716,1185.3613,2.537832,174.28635,2.5350704,1004.97125
2,16.232716,492.74817,1026.8091,55.69742,1199.5496,56.017612,172.62292,1022.32074,57.022213,2.540149,16.360003,476.59775,16.471815,1198.9106,16.705353,54.192116,1185.6234,1024.9233,176.75955,1185.3402,55.503704,435.7794,175.36726,2.5392258,16.753002,177.48758,462.74597,57.229004,989.0266,2.5287962,448.46484,1190.2189,2.5417683,174.76239,2.5386834,1004.0665
3,16.304798,494.60205,1025.976,55.64718,1204.7471,55.964558,173.0963,1021.2595,57.003746,2.5474427,16.436916,478.78134,16.545805,1204.0441,16.794964,54.145348,1189.9658,1024.974,176.37643,1189.381,55.45556,438.30014,175.88896,2.5455127,16.82131,178.6553,465.20935,57.206997,988.6643,2.5380068,450.87772,1194.964,2.5477269,175.19145,2.5444188,1003.5813
4,16.375044,496.44836,1026.3252,55.53031,1209.929,55.849045,173.46898,1021.6048,56.927616,2.5580287,16.511816,480.9477,16.620468,1209.2478,16.885561,54.040066,1194.3105,1026.6208,176.02644,1193.5497,55.34691,440.51657,176.32748,2.5548375,16.891857,179.54549,467.59863,57.12429,989.2925,2.5509307,453.06458,1199.7693,2.5568066,175.42958,2.5533557,1004.2955
5,16.442139,498.25226,1028.3286,55.390793,1215.1033,55.715466,173.71872,1023.953,56.831184,2.5723226,16.581615,483.02838,16.694849,1214.5889,16.973711,53.920334,1198.7473,1029.7379,175.66608,1197.9825,55.22088,442.3988,176.6311,2.5675652,16.965591,180.17574,469.8399,57.02239,990.94055,2.5680778,454.99548,1204.7217,2.5695734,175.39981,2.56601,1006.4681
6,16.5034,500.07605,1031.9386,55.29707,1220.2518,55.623486,173.85873,1028.3273,56.771156,2.5880063,16.64469,485.07205,16.762087,1219.9746,17.05183,53.846745,1203.1677,1033.8582,175.30855,1202.4696,55.137093,443.992,176.81616,2.5816445,17.032667,180.52419,471.92313,56.95867,993.1326,2.5865726,456.7117,1209.7025,2.5841296,175.27519,2.5802166,1009.9378
7,16.565247,501.9967,1037.287,55.21389,1225.0956,55.534298,173.91798,1034.9539,56.71567,2.6026978,16.708307,487.22977,16.82876,1225.142,17.129036,53.78214,1207.465,1038.6768,174.98909,1206.9036,55.05804,445.4835,176.92471,2.5950148,17.099108,180.60182,473.97885,56.8951,995.65955,2.603754,458.3589,1214.4998,2.5982819,175.15671,2.5939581,1014.6841
8,16.627909,504.04688,1044.0925,55.109417,1229.3063,55.417446,173.94118,1043.5376,56.63466,2.6149185,16.772486,489.5593,16.896978,1229.7535,17.207693,53.697147,1211.3557,1043.3824,174.76158,1211.0283,54.95322,446.92978,176.99202,2.6062639,17.167727,180.37769,476.10144,56.798943,998.23303,2.6179237,459.971,1218.8087,2.6105418,175.08586,2.6055965,1020.2894
9,16.69217,506.104,1051.4899,54.999943,1233.336,55.290432,173.99641,1053.0353,56.540775,2.622299,16.838623,491.9149,16.969002,1234.2,17.291399,53.60775,1215.1315,1047.3043,174.61769,1215.0715,54.84073,448.34454,177.09831,2.613436,17.241283,180.13747,478.16113,56.685192,1000.255,2.6263704,461.5192,1222.9962,2.618531,175.1076,2.6130993,1026.0184
10,16.746569,507.84796,1058.1993,54.907845,1236.3582,55.17509,174.12126,1061.6987,56.449448,2.6271763,16.891722,493.9049,17.031534,1237.7649,17.359629,53.534824,1218.2535,1050.29,174.56259,1218.6097,54.74188,449.38876,177.27393,2.6186285,17.307102,179.92816,479.79636,56.57063,1001.82526,2.6319418,462.71204,1226.398,2.6242175,175.37979,2.6187177,1030.9354
11,16.786928,509.17102,1063.555,54.85205,1238.5197,55.08948,174.25291,1068.5555,56.377342,2.6318133,16.929426,495.42612,17.076866,1240.4557,17.406523,53.499283,1220.6514,1052.2424,174.53853,1221.4446,54.676285,450.06647,177.45216,2.6239612,17.35525,179.66957,480.9475,56.474133,1003.07,2.6371772,463.5155,1228.9883,2.6298752,175.65703,2.6246512,1034.69
12,16.818148,510.11478,1067.4877,54.8469,1240.0321,55.044155,174.3883,1073.4984,56.3376,2.6383533,16.958899,496.55124,17.111763,1242.4952,17.4426,53.515015,1222.4478,1053.1849,174.52861,1223.7192,54.654964,450.58148,177.60704,2.631064,17.39216,179.42628,481.76196,56.406113,1003.8412,2.6446967,464.066,1230.9678,2.6372774,175.90805,2.6324763,1037.2399
13,16.840473,510.57004,1070.0402,54.89375,1240.7716,55.037247,174.53204,1076.5837,56.325466,2.646979,16.97931,497.12164,17.137144,1243.7896,17.46755,53.583786,1223.6147,1052.9977,174.52275,1225.4406,54.674644,450.638,177.7186,2.6399958,17.419542,179.25755,482.06738,56.36116,1004.1536,2.6545575,464.15573,1232.2742,2.646691,176.12631,2.6422577,1038.5366
14,16.85169,510.50717,1071.5359,54.975346,1240.2242,55.05492,174.67044,1078.2577,56.33055,2.6574922,16.987513,497.06476,17.14917,1243.8278,17.475176,53.687347,1223.7787,1052.2407,174.51031,1226.2311,54.719532,450.09814,177.78557,2.6503465,17.432863,179.13872,481.7745,56.333385,1004.27924,2.666504,463.67084,1232.4252,2.6578045,176.29764,2.6534593,1038.981
15,16.85589,509.998,1071.7986,55.061157,1238.5007,55.07203,174.75017,1078.2783,56.332146,2.6678073,16.988573,496.4608,17.1516,1242.6548,17.47083,53.793747,1222.9482,1050.7069,174.50621,1226.0269,54.763683,449.06046,177.77557,2.6602728,17.435246,179.0634,480.93323,56.304832,1004.0102,2.6780877,462.69562,1231.4396,2.6686091,176.40636,2.664065,1038.4315
16,16.871103,509.34915,1071.0997,55.145256,1236.8019,55.087624,174.76547,1077.0999,56.332615,2.6759543,17.002638,495.68866,17.164728,1241.4065,17.481232,53.894962,1222.0278,1048.2648,174.46434,1225.606,54.80785,447.9759,177.68832,2.6682823,17.447126,179.10211,479.95316,56.276905,1002.997,2.6871123,461.62173,1230.3619,2.6772606,176.42542,2.672621,1037.0582
17,16.90667,508.7113,1069.696,55.19317,1235.877,55.07318,174.72578,1075.0717,56.30726,2.6833649,17.038652,494.90952,17.20109,1240.8365,17.521572,53.95977,1221.6353,1045.3767,174.38176,1225.5707,54.820904,447.00867,177.54594,2.6756063,17.482954,179.16876,478.9867,56.222492,1001.46106,2.6952846,460.65298,1229.8959,2.6850636,176.43233,2.6804876,1035.1761
