Baseline,LSTM,Linear,Neural
1.030776106,1.000940459,1.09E+00,9.91E-01
1.031528791,1.000370498,1.09E+00,9.94E-01
1.031528791,1.020377124,1.09E+00,9.95E-01
1.029941389,1.020476484,1.09E+00,9.93E-01
1.032482366,1.023927642,1.09E+00,9.94E-01
1.032600106,1.022128842,1.10E+00,9.99E-01
1.03524374,1.020616411,1.11E+00,9.98E-01
1.035569161,1.020229034,1.11E+00,9.97E-01
1.037088173,1.022022979,1.11E+00,9.94E-01
1.037292882,1.031100976,1.11E+00,9.95E-01
1.038420788,1.032464543,1.12E+00,1.00E+00
1.038987314,1.03108323,1.13E+00,1.00E+00
1.039349247,1.032083958,1.13E+00,1.00E+00
1.040845021,1.036741706,1.13E+00,1.01E+00
1.040845021,1.03978558,1.14E+00,1.01E+00
1.03381396,1.041445541,1.13E+00,9.99E-01
1.029889436,1.041512266,1.14E+00,1.00E+00
1.030064887,1.038430077,1.13E+00,9.99E-01
1.033812281,1.038518315,1.15E+00,1.01E+00
1.034095139,1.038194956,1.14E+00,1.01E+00
1.037122749,1.03843357,1.14E+00,1.01E+00
1.037437911,1.039872398,1.16E+00,1.01E+00
1.039554382,1.042527426,1.16E+00,1.02E+00
1.039554382,1.041789972,1.16E+00,1.02E+00
1.041524824,1.041577796,1.16E+00,1.02E+00
1.042274566,1.040964067,1.16E+00,1.02E+00
1.042418802,1.041217796,1.17E+00,1.02E+00
1.042418802,1.041919393,1.17E+00,1.02E+00
1.049428089,1.041982032,1.17E+00,1.02E+00
1.050255627,1.041180981,1.16E+00,1.02E+00
1.050785248,1.041111377,1.16E+00,1.01E+00
1.050895722,1.039447599,1.16E+00,1.01E+00
1.050895722,1.035461384,1.16E+00,1.02E+00
1.05103706,1.036884072,1.15E+00,1.01E+00
1.051366851,1.035681722,1.15E+00,1.01E+00
1.05234045,1.0369205,1.14E+00,1.01E+00
1.052729463,1.040997046,1.14E+00,1.01E+00
1.052729463,1.042613366,1.14E+00,1.00E+00
