,0
0,-0.005281167
1,-0.005287001
2,-0.0052924138
3,-0.005297331
4,-0.0053016488
5,-0.0053055156
6,-0.0053088237
7,-0.0053116176
8,-0.0053140987
9,-0.0053160246
10,-0.005317757
11,-0.0052093808
12,-0.005549589
13,-0.0051378217
14,-0.0025375728
15,-0.0072496403
16,-0.006571548
17,-0.006641904
18,-0.006366996
19,-0.005376132
20,-0.0062734354
21,-0.0059716795
22,-0.00538926
23,-0.005803013
24,-0.0054804143
25,-0.0044839475
26,-0.00509133
27,-0.005388016
28,-0.0058836956
29,-0.005809011
30,-0.0057531763
31,-0.005709851
32,-0.005679043
33,-0.0056581516
34,-0.0056447554
35,-0.0056369174
36,-0.0056328718
37,-0.005631374
38,-0.0056315307
39,-0.005632775
40,-0.0056346226
41,-0.0056366418
42,-0.005638743
43,-0.005640844
44,-0.005642662
45,-0.005644383
46,-0.0056459177
47,-0.005647229
48,-0.0056483243
49,-0.0056493226
50,-0.0056500454
51,-0.0056507457
52,-0.0056246314
53,-0.005027091
54,-0.005351836
55,-0.0044313166
56,-0.004544845
57,-0.0038377065
58,0.0006759148
59,-0.005601397
60,-0.005888393
61,-0.0065727253
62,-0.0063869786
63,-0.0063608456
64,-0.0059086327
65,-0.0061990265
66,-0.006284984
67,-0.006204212
68,-0.0060851593
69,-0.0056072194
70,-0.005257422
71,-0.0057491045
72,-0.005189499
73,-0.00427985
74,-0.0039547887
75,-0.003928354
76,-0.00404072
77,-0.004206868
78,-0.004382694
79,-0.0045470465
80,-0.004690977
81,-0.0048125777
82,-0.004912721
83,-0.0049940515
84,-0.0050591994
85,-0.0051110554
86,-0.0051521603
87,-0.005184414
88,-0.0052098054
89,-0.0052296836
90,-0.005245233
91,-0.0052572507
92,-0.0052666757
93,-0.0052739847
94,-0.005125018
95,-0.0050279032
96,-0.0038186442
97,-0.0070902724
98,-0.009512948
99,-0.008724259
100,-0.008156592
101,-0.0069377404
102,-0.0063295234
103,-0.005878443
104,-0.0051683057
105,-0.0054248516
106,-0.004976323
107,-0.004498074
108,-0.004982045
109,-0.0038806591
110,-0.0049513746
111,-0.003934702
112,-0.0032712314
113,-0.0036658626
114,-0.003045598
115,-0.003572235
116,-0.0036345366
117,-0.003533816
118,-0.003571691
119,-0.0035779793
120,-0.0031876843
121,-0.00594051
122,-0.009223087
123,-0.009226138
124,-0.0064223167
125,-0.009313548
126,-0.005277736
127,-0.0053045545
128,-0.007822817
129,-0.0055870414
130,-0.0054276194
131,-0.0038686786
132,-0.0024855416
133,0.0004719738
134,-0.0028072055
135,-0.0019428078
136,0.00021342747
137,0.00080729835
138,0.00092275627
139,0.0008054543
140,0.00062586553
141,0.00045309402
142,0.00031003542
143,0.00019896962
144,0.00011068769
145,-2.0282343e-05
146,-0.0007401183
147,-0.00090693124
148,-0.00090738013
149,-0.0009080712
150,-0.00090930983
151,-0.0009110421
152,-0.0009132307
153,-0.0009157676
154,-0.00091848336
155,-0.0009212699
156,-0.00092387013
157,-0.00091076083
158,-0.0009904485
159,0.0038109887
160,-0.00046051852
161,-0.0047317725
162,-0.00033944286
163,-0.002380589
164,-0.0006575156
165,5.2301213e-05
166,0.0010447856
167,0.0011272449
168,0.0013548341
169,0.0012300219
170,0.00078801997
171,-0.0009257514
172,-0.00012648292
173,-0.0029108617
174,-0.0015221778
175,-0.00022300892
176,-0.00063287094
177,-0.0018007774
178,-0.0016953871
179,-0.0019465107
180,-0.0019308943
181,-0.001713654
182,-0.0023026243
183,-0.0014611017
184,-0.005127363
185,-0.004078515
186,-0.0031050164
187,-0.0041201357
188,-0.007158475
189,-0.0057588834
190,-0.0042120833
191,-0.0022587422
192,-0.0025001671
193,-0.0031276885
194,0.0005691778
195,0.0006426405
196,-0.00017845444
197,0.0013088156
198,0.00013606809
199,0.00062149577
200,0.0022179652
201,0.002624223
202,0.002505308
203,0.0022025611
204,0.0018691849
205,0.0015673507
206,0.001315644
207,0.0011123326
208,0.00091437064
209,0.00020941906
210,-0.00038691796
211,-0.0005174484
212,-0.0009779222
213,-0.0009967666
214,-0.0010122564
215,-0.0010252967
216,-0.0010362677
217,-0.0010456182
218,-0.001054747
219,-0.0010572802
220,-0.0010511726
221,-0.001598699
222,-0.0028918553
223,-0.0033945404
224,-0.0039049275
225,-0.0006628353
226,-0.0026062783
227,-0.003013501
228,-0.0015922766
229,0.0013467651
230,-0.0031885076
231,-0.001278067
232,-0.0019701552
233,-0.0012334455
234,0.00012012385
235,0.0010204967
236,-0.00010028295
237,-0.0019168574
238,-0.0019874852
239,-0.002089493
240,-0.0020361934
241,-0.0022547003
242,-0.0025093313
243,-0.0025773663
244,-0.0036373083
245,-0.004708061
246,-0.0044003967
247,-0.004530309
248,-0.004862653
249,-0.0048677493
250,-0.0048738588
251,-0.004880609
252,-0.004887359
253,-0.0048938114
254,-0.004899958
255,-0.0049055014
256,-0.0049104337
257,-0.0049148444
258,-0.0049186926
259,-0.004921941
260,-0.0049247276
261,-0.004875036
262,-0.0025141723
263,-0.0068794135
264,-0.004977621
265,-0.006231323
266,-0.0044323336
267,-0.0034543555
268,-0.0043992978
269,-0.0036209654
270,-0.002988359
271,-0.002549937
272,-0.0022810157
273,-0.0024618227
274,-0.0025906656
275,-0.0032406468
276,-0.004154803
277,-0.004152762
278,-0.00381908
279,-0.0030647349
280,-0.0023644473
281,-0.0035215262
282,-0.0035657976
283,-0.0036026184
284,-0.0036330987
285,-0.003658386
286,-0.0036793519
287,-0.003696518
288,-0.0037107784
289,-0.0037223566
290,-0.0037318636
291,-0.0037395228
292,-0.0037458409
293,-0.003750855
294,-0.0037549604
295,-0.0037583802
296,-0.0037610028
297,-0.003763089
298,-0.0037647653
299,-0.0037661511
300,-0.003767291
