,0
0,0.008629964
1,0.012961061
2,0.010455065
3,0.011475847
4,0.007682518
5,0.009293162
6,0.012108729
7,0.013446481
8,0.014577807
9,0.014531271
10,0.013407231
11,0.00935764
12,0.006410078
13,0.00459461
14,0.0036007322
15,0.0031767718
16,0.00312806
17,0.0033106513
18,0.003622309
19,0.0039929757
20,0.0043770457
21,0.0047463635
22,0.005085201
23,0.005385914
24,0.005646483
25,0.0058680037
26,0.006053471
27,0.0062068785
28,0.0063323835
29,0.0064341435
30,0.010508598
31,0.010809795
32,0.01619628
33,0.015235805
34,0.013796979
35,0.0144031355
36,0.015911646
37,0.016431764
38,0.014420376
39,0.017145552
40,0.017092086
41,0.012340308
42,0.009471753
43,0.009290435
44,0.0064217756
45,0.008602486
46,0.011517332
47,0.012991012
48,0.014854156
49,0.015415312
50,0.01030393
51,0.006308385
52,0.003667102
53,0.0020377047
54,0.0011497594
55,0.00078190933
56,0.0007625676
57,0.0009636737
58,0.0012924529
59,0.0016838394
60,0.0020939566
61,0.0024946711
62,0.0028687275
63,0.0032070435
64,0.0035057373
65,0.0037645928
66,0.0039854357
67,0.004171499
68,0.0043265754
69,0.004454554
70,0.0045593316
71,0.0046442905
72,0.0047128135
73,0.004767754
74,0.008286082
75,0.015209512
76,0.016049743
77,0.01985874
78,0.018510178
79,0.022435494
80,0.01560966
81,0.0144144455
82,0.011297629
83,0.0153896
84,0.0128989825
85,0.012537853
86,0.0087270895
87,0.006102563
88,0.013728642
89,0.01016298
90,0.005225138
91,0.0064720595
92,0.003604517
93,0.0017466254
94,-0.0018075549
95,0.0075745964
96,0.007819795
97,0.01181242
98,0.011200295
99,0.0096291015
100,0.0093994895
101,0.0125425765
102,0.011751407
103,0.007015587
104,0.0036982752
105,0.0057644704
106,0.0032086826
107,0.009659209
108,0.008296409
109,0.0120581845
110,0.008327522
111,0.012622514
112,0.011291132
113,0.007120819
114,0.007737563
115,0.0063400427
116,0.0033054657
117,0.001411096
118,0.00035812776
119,-0.00010160287
120,-0.00016162475
121,3.1531556e-05
122,0.00037122588
123,0.0007826097
124,0.0012153245
125,0.0016373552
126,0.0020296879
127,0.0013217486
128,0.002691739
129,0.002957762
130,0.0031832613
131,0.0033717088
132,0.0035274632
133,0.0036550544
134,0.0037587814
135,0.0038423545
136,0.003909544
137,0.0060513476
138,0.0033356554
139,0.012659968
140,0.008578331
141,0.0035043366
142,0.009217204
143,0.007148885
144,0.010983498
145,0.015620799
146,0.017647728
147,0.016455196
148,0.015445099
149,0.014773526
150,0.016520947
151,0.016207874
152,0.013302953
153,0.011480079
154,0.008862869
155,0.0069068233
156,0.011290819
157,0.0077038268
158,0.00779532
159,0.003450618
160,0.0035718388
161,0.0020201958
162,-0.00050131907
163,-0.0014065125
164,0.0061832303
165,0.0027120493
166,0.00201504
167,0.004304127
168,0.004670636
169,0.0037560023
170,0.008643025
171,0.004902714
172,0.002964922
173,0.0043123076
174,0.002527476
175,0.0050733695
176,0.0055418545
177,0.0036847226
178,0.006285147
179,0.008201034
180,0.007091821
181,0.006388896
182,0.0059807384
183,0.005781033
184,0.0057291696
185,0.0058442215
186,0.0067528943
187,0.0075383903
188,0.0067988792
