,0
0,0.0051492043
1,0.0051455395
2,0.0051418
3,0.0051383646
4,0.0051353285
5,0.005132735
6,0.005130611
7,0.0051288833
8,0.0051274574
9,0.005126368
10,0.005125466
11,-0.0006806854
12,0.00057776854
13,0.0022330005
14,0.00394883
15,0.0033098366
16,0.0045343805
17,-0.0007574939
18,-0.0016139862
19,-0.0008069365
20,0.00086640613
21,0.0027773352
22,0.00036864565
23,0.001898678
24,0.0023625917
25,0.00038748048
26,-0.00088445516
27,-0.0011395201
28,0.0012025919
29,0.002524856
30,0.002445749
31,0.0032182792
32,0.003757522
33,0.0041523664
34,0.0044172145
35,0.00459787
36,0.004711776
37,0.004782498
38,0.0048245126
39,0.00484794
40,0.004859714
41,0.0048644966
42,0.0048652687
43,0.004863932
44,0.00486164
45,0.0048590284
46,0.0048565175
47,0.0048542903
48,0.004852359
49,0.0048507615
50,0.004849471
51,0.0048484607
52,0.0048476467
53,0.0048470534
54,0.0044426634
55,0.0046365936
56,0.0056697954
57,0.00508528
58,0.0019054594
59,0.0011457601
60,0.0016539833
61,0.00074637285
62,0.0013507728
63,7.340498e-05
64,0.00013129832
65,-0.0007023908
66,-0.00030745007
67,-0.00066774036
68,-0.0012104986
69,-0.00034146314
70,0.0019759398
71,-0.00027573248
72,0.0024060244
73,0.002959794
74,2.9113377e-05
75,0.0011576489
76,-0.003362092
77,0.000101907644
78,-0.00031300634
79,-0.00039285992
80,0.0016993692
81,0.0019758788
82,0.00037182216
83,0.0012353519
84,0.00072117476
85,0.0017075799
86,0.00090728886
87,0.0019152067
88,0.0016534282
89,0.0006444247
90,0.0013975343
91,0.0013722312
92,0.0021987366
93,0.003961984
94,0.004025115
95,0.0042208363
96,0.004427135
97,0.0046058986
98,0.004745091
99,0.004846484
100,0.0049167583
101,0.004963433
102,0.0049931644
103,0.0050113313
104,0.0050217616
105,0.005027398
106,0.005030036
107,0.005031116
108,0.005036026
109,0.005027249
110,0.005027096
111,0.0050291102
112,0.005042093
113,0.0050411895
114,0.0050539784
115,0.0050447355
116,0.005017881
117,0.004586665
118,0.0023454558
119,0.005396814
120,-0.00052133517
121,0.0018056978
122,0.0025315844
123,0.0032886933
124,0.0036288286
125,0.003502319
126,0.0014336482
127,0.003671825
128,0.0013219437
129,0.0030432683
130,0.003325615
131,0.0021653268
132,0.0036171284
133,0.0007029171
134,0.0026994958
135,0.0036874716
136,0.0032045282
137,-0.00044007413
138,-0.001181127
139,-0.0036360947
140,-0.00019037537
141,-0.004099195
142,-0.00095142354
143,0.0015953248
144,0.0022108303
145,-0.0021436648
146,-0.001359062
147,-0.0012950858
148,-0.0003087509
149,0.0006218497
150,0.0035198843
151,0.0018772059
152,-0.0011016141
153,-0.0012744918
154,-0.0002519472
155,0.0013498636
156,0.0018757128
157,-0.0009778944
158,0.0022751475
159,0.0036704307
160,0.004101661
161,0.0044801375
162,0.0047601266
163,0.0049617644
164,0.0051020263
165,0.0051964917
166,0.005257859
167,0.005295005
168,0.005323559
169,0.005359302
170,0.0053387797
171,0.0053415457
172,0.0053420947
173,0.00534146
174,0.0053402036
175,0.0053378586
176,0.005339185
177,0.005336775
178,0.0053389254
179,0.005337319
180,0.0022046017
181,0.0006149062
182,0.0036474513
183,0.002471739
184,0.004649998
185,0.0039535156
186,0.0047097607
187,0.0021437276
188,-0.00034048373
189,0.0012195141
190,0.001351591
191,-0.00023900229
192,0.00061008567
193,0.001890166
194,0.0018163642
195,0.0030006054
196,1.531234e-05
197,0.0018764092
198,-0.0017439781
199,0.0019084879
200,0.0027572694
201,0.0036243405
202,0.0041318936
203,0.0044866805
204,0.0046701347
205,0.004639241
206,0.004788073
207,0.004768694
208,0.0047963313
209,0.0048095835
210,0.0048143985
211,0.0048143687
212,0.004811913
213,0.0048083435
214,0.004804537
215,0.0048009567
216,0.0047977353
217,0.0047949925
218,0.004792719
219,0.0047908733
220,0.0047893794
221,0.000227198
222,0.00060713524
223,0.0010410394
224,-1.3712095e-05
225,-0.000100678764
226,-0.0005372849
227,0.0015767557
228,0.0022958717
229,0.00014172052
230,0.00041581923
231,0.000794603
232,0.003136612
233,0.0037339334
234,0.0043356693
235,0.005198545
236,0.0042331433
237,0.005281643
238,0.0055202963
239,0.005096662
240,0.005056288
241,0.005071818
242,0.0051677935
243,0.005248083
244,0.0053045265
245,0.0053486503
246,0.0053753033
247,0.0054480196
248,0.005314806
249,0.005315146
250,0.0053130793
251,0.005309937
252,0.00530651
253,0.0053031635
254,0.0053001633
255,0.005297559
256,0.005295441
257,0.0052936613
258,0.0052922517
259,0.0052911025
260,0.005290229
261,0.0005966681
262,0.0018518129
263,0.0011802621
264,0.000346923
265,0.0001502703
266,0.00045267027
267,0.0018963949
268,0.0035177488
269,0.0040620454
270,0.0047900947
271,0.0048016934
272,0.0008740658
273,0.001085795
274,0.0029289452
275,0.0033807545
276,0.0016160756
277,0.0043457486
278,0.004305415
279,0.0010532264
280,0.0007652708
281,0.0025617843
282,0.003071851
283,0.003726839
284,0.004157733
285,0.0044658934
286,0.0046883184
287,0.0048505184
288,0.0049677487
289,0.0050515267
290,0.0051105265
291,0.0051514558
292,0.005179388
293,0.005198094
294,0.0052104723
295,0.0052184565
296,0.005223564
297,0.0052266885
298,0.005228649
299,0.0052297767
300,0.0052304226
301,0.005230783
302,0.005231003
303,0.0052311155
304,0.0023288056
305,0.0018001185
306,0.002849305
307,0.003535204
308,-0.0016617565
309,0.003227842
310,0.0037354184
311,0.0038663065
312,0.004505101
313,0.0021345168
314,0.0052188714
315,0.0046052705
316,0.004518477
317,0.004080962
318,0.0047393935
319,0.0049888575
320,0.004974817
321,0.0050865873
322,0.0051152683
323,0.0048370506
324,0.004864323
325,0.004423468
326,0.0009781914
327,0.003757426
328,0.0042401906
329,0.0045132446
330,0.003663479
331,0.0047691627
332,0.00458393
333,0.00020851544
334,0.0017696279
335,0.0022757798
336,0.0011452548
337,0.0016608087
338,0.00043792278
339,0.0028974554
340,0.0023373347
341,0.0038082171
342,0.0036871387
343,0.003859154
344,0.00409288
345,0.0042864173
346,0.0044972687
347,0.004653218
348,0.004764063
349,0.0048399763
350,0.0048903157
351,0.004922942
352,0.004945273
353,0.004981511
354,0.005059455
355,0.0048473338
356,0.0048522167
357,0.0049450006
358,0.004752626
359,0.004751877
360,0.0047515063
361,0.004753651
362,0.0047906116
363,0.004699388
364,0.004698971
365,0.0046986155
366,0.0046983496
367,0.00469815
368,0.0046980046
369,0.0041882107
370,0.0054488936
371,0.0016933933
372,0.003940179
373,-0.0011905802
374,-0.0008896135
375,0.0016276015
376,0.002452833
377,0.001096053
378,0.004133889
379,0.00349994
380,0.004314731
381,0.0040362626
382,0.004328485
383,0.005321021
384,0.004795914
385,0.005016348
386,0.00452162
387,0.004587768
388,0.004526713
389,-0.001193902
390,0.00062302547
391,-0.00016896089
392,0.00023399177
393,0.00091291475
394,0.0031549986
395,0.0008403626
396,0.00204095
397,0.002487348
398,0.0030653202
399,-0.00038567896
400,0.001870509
401,0.002434031
402,0.003113166
403,0.0035680514
404,0.0033021937
405,0.00478637
406,0.00430061
407,0.0014727116
408,0.0038204966
409,0.0042444346
410,0.0038296399
411,0.0040319464
412,0.00422037
413,0.004378908
414,0.00450033
415,0.004587627
416,0.004647329
417,0.004686321
418,0.004713015
419,0.004725545
420,0.0047416287
421,0.004720561
422,0.0047783926
423,0.0047485456
424,0.0046576965
425,0.004657669
426,0.0046700733
427,0.0046404693
428,0.0046395757
429,0.0046388623
430,0.004638257
431,0.000722412
432,-0.00057118095
433,2.4505425e-06
434,-0.00028335932
435,0.00016731909
436,0.00047757104
437,-0.001181711
438,-0.00034237606
439,-0.00037956727
440,-0.0018150553
441,-0.0002759149
442,-0.00030068285
443,0.0005317521
444,0.0023338408
445,0.00086098653
446,0.00396094
447,0.0040476685
448,0.0014822464
449,0.0016359664
450,0.00076902844
